2024-03-08 17:49:05,673 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Configure stats pid to 45442
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Loading settings from /Users/kelseydoerksen/.config/wandb/settings
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Loading settings from /Users/kelseydoerksen/code/giga-connectivity/wandb/settings
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_pipeline.py', 'program_abspath': '/Users/kelseydoerksen/code/giga-connectivity/run_pipeline.py', 'program': '/Users/kelseydoerksen/code/giga-connectivity/run_pipeline.py'}
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_setup.py:_flush():76] Applying login settings: {'anonymous': 'must'}
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_init.py:_log_setup():528] Logging user logs to /Users/kelseydoerksen/code/giga-connectivity/wandb/run-20240308_174905-8k4fqnsu/logs/debug.log
2024-03-08 17:49:05,674 INFO    MainThread:45442 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/kelseydoerksen/code/giga-connectivity/wandb/run-20240308_174905-8k4fqnsu/logs/debug-internal.log
2024-03-08 17:49:05,675 INFO    MainThread:45442 [wandb_init.py:init():568] calling init triggers
2024-03-08 17:49:05,675 INFO    MainThread:45442 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2024-03-08 17:49:05,675 INFO    MainThread:45442 [wandb_init.py:init():618] starting backend
2024-03-08 17:49:05,675 INFO    MainThread:45442 [wandb_init.py:init():622] setting up manager
2024-03-08 17:49:05,678 INFO    MainThread:45442 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-08 17:49:05,681 INFO    MainThread:45442 [wandb_init.py:init():628] backend started and connected
2024-03-08 17:49:05,684 INFO    MainThread:45442 [wandb_init.py:init():720] updated telemetry
2024-03-08 17:49:05,718 INFO    MainThread:45442 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-08 17:49:06,389 INFO    MainThread:45442 [wandb_run.py:_on_init():2220] communicating current version
2024-03-08 17:49:06,465 INFO    MainThread:45442 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-08 17:49:06,465 INFO    MainThread:45442 [wandb_init.py:init():804] starting run threads in backend
2024-03-08 17:49:15,527 INFO    MainThread:45442 [wandb_run.py:_console_start():2199] atexit reg
2024-03-08 17:49:15,527 INFO    MainThread:45442 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2024-03-08 17:49:15,528 INFO    MainThread:45442 [wandb_run.py:_redirect():2119] Wrapping output streams.
2024-03-08 17:49:15,528 INFO    MainThread:45442 [wandb_run.py:_redirect():2144] Redirects installed.
2024-03-08 17:49:15,528 INFO    MainThread:45442 [wandb_init.py:init():845] run started, returning control to user process
2024-03-08 17:49:15,528 INFO    MainThread:45442 [wandb_run.py:_config_callback():1324] config_cb None None {'aoi': 'BWA', 'buffer': '1000', 'model': 'mlp'}
2024-03-08 17:49:16,982 INFO    MainThread:45442 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'roc') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'roc_table'}], 'fields': []}]}]}}} None
2024-03-08 17:49:23,055 WARNING MsgRouterThr:45442 [router.py:message_loop():77] message_loop has been closed
